Timestamp,size,gender,exp,tech,role,remote,paid,lastsalary,salary delta,deltapercent,comp,country,cost
3/11/2016 0:30:38,Very Large ,Male,I've been doing this for a few years (3 - 5 years),Yes,I help customers,No,35578,42693,-7115,-20%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",ie,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/12/2016 8:20:53,Very Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,Yes,30350,33722,-3372,-11%,Nothing,NZ,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/7/2016 9:08:13,Medium,Male,Support is a way of life! (5+ years),Yes,I lead a team (but I'm not head of support),Yes,145000,145000,0,0%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",.us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/5/2016 12:27:02,Medium,Female,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,125000,125000,0,0%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",Us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/12/2016 12:56:14,Very Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,120000,120000,0,0%,Medical benefits (partially paid to 100%),USA,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 5:36:29,Very Small,Male,Support is a way of life! (5+ years),Yes,I'm in charge of the entire support operation,No,100000,100000,0,0%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/5/2016 7:26:40,Small,Female,I've been doing this for a few years (3 - 5 years),Yes,I'm in charge of the entire support operation,No,100000,100000,0,0%,"Medical benefits (partially paid to 100%), Equity, Bonuses, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",USA,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/29/2016 12:41:11,Small,Female,Support is a way of life! (5+ years),Kinda,I'm in charge of the entire support operation,Yes,92000,92000,0,0%,"Medical benefits (partially paid to 100%), Bonuses",USA ,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
3/12/2016 8:05:23,Very Small,Male,Support is a way of life! (5+ years),Kinda,I'm in charge of the entire support operation,No,82000,82000,0,0%,Medical benefits (partially paid to 100%),usa,"$$$ (e.g. Nashville, Birmingham, Vienna, Austin, Las Vegas, Tel Aviv)"
3/7/2016 12:08:58,Small,Female,I've been doing this for a few years (3 - 5 years),Kinda,I'm in charge of the entire support operation,No,80000,80000,0,0%,"Medical benefits (partially paid to 100%), Equity, Amazing benefits (Uber puppies, free food, sabbaticals, etc)",us,"$$$$ (e.g. San Francisco, Hong Kong, Sydney, London, Paris, New York)"
